,MP_index,Cluster_ID,cluster_size,sublattice_element,dbcv_cluster,probabilities
24395,mp-777348,-1,24875,Mn,0.8468198764613707,0.0
24396,mp-777350,-1,24875,O,0.8468198764613707,0.0
24397,mp-777351,159,17,O,0.3288053664055547,1.0
24398,mp-777354,-1,24875,O,0.8468198764613707,0.0
24399,mp-777355,-1,24875,Mn,0.8468198764613707,0.0
24400,mp-777356,-1,24875,Bi,0.8468198764613707,0.0
24401,mp-777357,-1,24875,Fe,0.8468198764613707,0.0
24402,mp-777361,-1,24875,Mn,0.8468198764613707,0.0
24403,mp-777369,134,140,Mn,0.20563786639491222,0.9409485132564198
24404,mp-777373,-1,24875,Li,0.8468198764613707,0.0
24405,mp-777377,134,140,Co,0.20563786639491222,0.9407115289424545
24406,mp-777378,134,140,Mn,0.20563786639491222,0.7770738632840571
24407,mp-777379,-1,24875,O,0.8468198764613707,0.0
24408,mp-777381,-1,24875,Co,0.8468198764613707,0.0
24409,mp-777383,-1,24875,Cr,0.8468198764613707,0.0
24410,mp-777385,-1,24875,Li,0.8468198764613707,0.0
24411,mp-777390,-1,24875,Mn,0.8468198764613707,0.0
24412,mp-777392,26,66,Li,0.7290418659203914,0.716137539614704
24413,mp-777394,-1,24875,N,0.8468198764613707,0.0
24414,mp-777396,-1,24875,O,0.8468198764613707,0.0
24415,mp-777398,-1,24875,Co,0.8468198764613707,0.0
24416,mp-777399,-1,24875,O,0.8468198764613707,0.0
24417,mp-777405,-1,24875,Li,0.8468198764613707,0.0
24418,mp-777411,-1,24875,O,0.8468198764613707,0.0
24419,mp-777413,-1,24875,Ce,0.8468198764613707,0.0
24420,mp-777420,162,141,O,0.13336993423093385,0.9110791692003686
24421,mp-777423,-1,24875,O,0.8468198764613707,0.0
24422,mp-777427,26,66,Li,0.7290418659203914,0.7671610188057685
24423,mp-777429,154,110,O,0.16856183424040494,0.9394062144108034
24424,mp-777431,-1,24875,Fe,0.8468198764613707,0.0
24425,mp-777438,39,32,Li,0.2528353085510377,1.0
24426,mp-777440,-1,24875,V,0.8468198764613707,0.0
24427,mp-777443,-1,24875,F,0.8468198764613707,0.0
24428,mp-777444,-1,24875,Fe,0.8468198764613707,0.0
24429,mp-777447,-1,24875,F,0.8468198764613707,0.0
24430,mp-777449,0,25,V,0.8677963952009596,1.0
24431,mp-777450,20,24,Ti,0.7389810584889508,1.0
24432,mp-777451,-1,24875,Li,0.8468198764613707,0.0
24433,mp-777452,-1,24875,Co,0.8468198764613707,0.0
24434,mp-777453,-1,24875,F,0.8468198764613707,0.0
24435,mp-777454,-1,24875,V,0.8468198764613707,0.0
24436,mp-777455,-1,24875,O,0.8468198764613707,0.0
24437,mp-777457,-1,24875,Fe,0.8468198764613707,0.0
24438,mp-777459,-1,24875,F,0.8468198764613707,0.0
24439,mp-777460,-1,24875,O,0.8468198764613707,0.0
24440,mp-777461,26,66,Li,0.7290418659203914,0.7364569636678326
24441,mp-777463,-1,24875,F,0.8468198764613707,0.0
24442,mp-777464,45,16,Ti,0.6390075383641394,1.0
24443,mp-777465,61,54,W,0.4951498870453423,0.4878938371381038
24444,mp-777466,-1,24875,Fe,0.8468198764613707,0.0
24445,mp-777468,-1,24875,Mn,0.8468198764613707,0.0
24446,mp-777471,-1,24875,Fe,0.8468198764613707,0.0
24447,mp-777472,-1,24875,F,0.8468198764613707,0.0
24448,mp-777474,-1,24875,F,0.8468198764613707,0.0
24449,mp-777475,-1,24875,Li,0.8468198764613707,0.0
24450,mp-777476,162,141,O,0.13336993423093385,0.7675714939340815
24451,mp-777477,-1,24875,F,0.8468198764613707,0.0
24452,mp-777480,-1,24875,O,0.8468198764613707,0.0
24453,mp-777489,-1,24875,Fe,0.8468198764613707,0.0
24454,mp-777491,80,28,V,0.5232164014392614,1.0
24455,mp-777498,25,119,Ti,0.8100742310566592,1.0
24456,mp-777511,39,32,Li,0.2528353085510377,1.0
24457,mp-777513,-1,24875,Fe,0.8468198764613707,0.0
24458,mp-777514,-1,24875,O,0.8468198764613707,0.0
24459,mp-777516,-1,24875,O,0.8468198764613707,0.0
24460,mp-777517,162,141,O,0.13336993423093385,0.8298076348898171
24461,mp-777520,-1,24875,Fe,0.8468198764613707,0.0
24462,mp-777528,-1,24875,V,0.8468198764613707,0.0
24463,mp-777531,8,113,Ti,0.5414744247704544,0.653850782110965
24464,mp-777536,134,140,Fe,0.20563786639491222,0.9429937556174075
24465,mp-777538,134,140,Fe,0.20563786639491222,0.9949348084686515
24466,mp-777539,-1,24875,O,0.8468198764613707,0.0
24467,mp-777540,-1,24875,V,0.8468198764613707,0.0
